"country","name","tier","distributor","start_date"
"Cyprus","A.STEPHANIS","EUR TIER 1",,"2012-09-01"
"Cyprus","ACAPPELA/TORORIN","EUR TIER 1",,"2012-09-01"
"Cyprus","ACOSO SATTELLITERS","EUR TIER 2",,"2012-09-01"
"Cyprus","BIONIC","EUR TIER 1",,"2012-10-01"
"Cyprus","BRENT CROSS","EUR TIER 2",,"2012-10-01"
"Cyprus","C&S DIGITAL CENTRE","EUR TIER 2",,"2012-09-01"
"Cyprus","D.E.S COMPUTER WORLD","EUR TIER 2",,"2012-09-01"
"Cyprus","EASY PC","EUR TIER 2",,"2012-09-01"
"Cyprus","ELECTROLINE","EUR TIER 1",,"2012-09-01"
"Cyprus","ELECTRONIKI ATHINON","EUR TIER 1",,"2012-09-01"
"Cyprus","EXA Solutions Ltd","EUR TIER 2",,"2012-11-01"
"Cyprus","FRAG COMPUTERS","EUR TIER 2",,"2012-09-01"
"Cyprus","G.A DIGIBITS","EUR TIER 2",,"2012-09-01"
"Cyprus","GAMERS BOULEVARD","EUR TIER 2",,"2012-10-01"
"Cyprus","GIBAREIO","EUR TIER 2",,"2012-10-01"
"Cyprus","GIOCO LIBERO","EUR TIER 2",,"2012-09-01"
"Cyprus","HI TECH EXTREME","EUR TIER 2",,"2012-09-01"
"Cyprus","ITC PUBLIC","EUR TIER 1",,"2012-09-01"
"Cyprus","J.SARDALOS","EUR TIER 2",,"2012-09-01"
"Cyprus","L.M.A ELECTRONIC DEVICES","EUR TIER 2",,"2012-09-01"
"Cyprus","LYTRAS","EUR TIER 2",,"2012-09-01"
"Cyprus","M.P VENTUS COMPUTERS","EUR TIER 1",,"2012-10-01"
"Cyprus","MARIA KYPRIANOU","EUR TIER 2",,"2012-09-01"
"Cyprus","MEGALAND","EUR TIER 2",,"2012-10-01"
"Cyprus","MELESOFT","EUR TIER 2",,"2012-10-01"
"Cyprus","MIMAX TRADING","EUR TIER 2",,"2012-09-01"
"Cyprus","MISTRAS TECHNICAL SERVICES","EUR TIER 2",,"2012-09-01"
"Cyprus","MTN","EUR TIER 1",,"2012-09-01"
"Cyprus","MUSICAL PARADISE","EUR TIER 1",,"2012-09-01"
"Cyprus","NORA","EUR TIER 2",,"2012-09-01"
"Cyprus","ONISIFOROU WAREHOUSE PRICES","EUR TIER 2",,"2012-10-01"
"Cyprus","ORLAYA- BROADCAST STORES","EUR TIER 2",,"2012-09-01"
"Cyprus","PAPHOS COMPUTERS","EUR TIER 2",,"2012-09-01"
"Cyprus","R.B VIDEOTECH","EUR TIER 2",,"2012-09-01"
"Cyprus","RNIK ENTERPRISES","EUR TIER 2",,"2012-09-01"
"Cyprus","SDA ROLLS TECHNOLOGY MARKET","EUR TIER 2",,"2012-09-01"
"Cyprus","SIMPLINK CORPORATION","EUR TIER 2",,"2012-09-01"
"Cyprus","VIDEO HOUSE P. MATHEOU","EUR TIER 2",,"2012-09-01"
"Cyprus","WWW.MICROMANIA.COM.CY","EUR TIER 2",,"2012-10-01"
"Cyprus","ZANNETOS TRANTAS","EUR TIER 2",,"2012-09-01"
"Hungary","220volt Magyarország Kft.","EUR TIER 1",,"2012-12-01"
"Hungary","220volt Magyarország Kft.","USD TIER 1",,"2013-10-01"
"Hungary","576Kbyte","EUR TIER 1",,"2013-04-01"
"Hungary","576Kbyte","USD TIER 1",,"2013-10-01"
"Hungary","CHS Hungary kft","EUR TIER 1",,"2012-04-01"
"Hungary","CHS Hungary kft","USD TIER 1",,"2013-10-01"
"Hungary","Comgame 576 Kft.","EUR TIER 1",,"2013-05-01"
"Hungary","Comgame 576 Kft.","USD TIER 1",,"2013-10-01"
"Hungary","Compmarket Hungary ZRt","EUR TIER 1",,"2012-04-01"
"Hungary","Compmarket Hungary ZRt","USD TIER 1",,"2013-10-01"
"Hungary","Computer Emporium Kft","EUR TIER 1",,"2012-04-01"
"Hungary","Computer Emporium Kft","USD TIER 1",,"2013-10-01"
"Hungary","Dot-Compker kft","EUR TIER 1",,"2012-04-01"
"Hungary","Dot-Compker kft","USD TIER 1",,"2013-10-01"
"Hungary","Fabex Bt","EUR TIER 2",,"2012-04-01"
"Hungary","Fabex Bt","USD TIER 2",,"2013-10-01"
"Hungary","Ipon Computer Kft","EUR TIER 1",,"2012-04-01"
"Hungary","Ipon Computer Kft","USD TIER 1",,"2013-10-01"
"Hungary","JTC Kft","EUR TIER 1",,"2012-04-01"
"Hungary","JTC Kft","USD TIER 1",,"2013-10-01"
"Hungary","Komel Kft.","EUR TIER 1",,"2012-12-01"
"Hungary","Komel Kft.","USD TIER 1",,"2013-10-01"
"Hungary","Multimedia Tower Kft","EUR TIER 1",,"2012-04-01"
"Hungary","Multimedia Tower Kft","USD TIER 1",,"2013-10-01"
"Hungary","Procomp kft","EUR TIER 2",,"2012-04-01"
"Hungary","Procomp kft","USD TIER 2",,"2013-10-01"
"Hungary","X-MultimediaShop Kft.","EUR TIER 1",,"2012-12-01"
"Hungary","X-MultimediaShop Kft.","USD TIER 1",,"2013-10-01"
"Kazakhstan","1S-Interes LLP","USD TIER 2",,"2012-04-01"
"Kazakhstan","1S-Interes LLP",,,"2012-11-01"
"Kazakhstan","Beliy Veter LLP","USD TIER 1",,"2012-04-01"
"Kazakhstan","Beliy Veter LLP",,,"2012-11-01"
"Kazakhstan","Detskiy Mir","USD TIER 2",,"2012-04-01"
"Kazakhstan","Detskiy Mir",,,"2012-11-01"
"Kazakhstan","iPoint LLP","USD TIER 1",,"2012-04-01"
"Kazakhstan","iPoint LLP",,,"2012-11-01"
"Kazakhstan","Line LLP","USD TIER 2",,"2012-04-01"
"Kazakhstan","Line LLP",,,"2012-11-01"
"Kazakhstan","Logycom LLP","USD TIER 2",,"2012-04-01"
"Kazakhstan","Logycom LLP",,,"2012-11-01"
"Kazakhstan","M-Media","USD TIER 1",,"2012-04-01"
"Kazakhstan","M-Media",,,"2012-11-01"
"Kazakhstan","Meloman Home Video LLP","USD TIER 1",,"2012-04-01"
"Kazakhstan","Meloman Home Video LLP",,,"2012-11-01"
"Kazakhstan","Technodom LLP","USD TIER 2",,"2012-04-01"
"Kazakhstan","Technodom LLP",,,"2012-11-01"
"Kazakhstan","Unicode LLP","USD TIER 1",,"2012-04-01"
"Kazakhstan","Unicode LLP",,,"2012-11-01"
